23017395	INHIBITOR	Arg1:T15	Arg2:T21
23017395	INHIBITOR	Arg1:T16	Arg2:T21
12181427	PART-OF	Arg1:T3	Arg2:T22
12181427	INHIBITOR	Arg1:T6	Arg2:T23
12181427	INHIBITOR	Arg1:T7	Arg2:T23
12181427	PART-OF	Arg1:T5	Arg2:T23
12181427	INHIBITOR	Arg1:T8	Arg2:T24
12181427	INHIBITOR	Arg1:T8	Arg2:T25
12181427	INHIBITOR	Arg1:T8	Arg2:T26
12181427	INHIBITOR	Arg1:T8	Arg2:T27
12181427	INHIBITOR	Arg1:T9	Arg2:T28
12181427	INHIBITOR	Arg1:T10	Arg2:T29
12181427	INHIBITOR	Arg1:T10	Arg2:T30
12181427	INHIBITOR	Arg1:T10	Arg2:T31
12181427	INHIBITOR	Arg1:T10	Arg2:T15
12181427	INHIBITOR	Arg1:T11	Arg2:T15
12181427	INHIBITOR	Arg1:T11	Arg2:T29
12181427	INHIBITOR	Arg1:T11	Arg2:T30
12181427	INHIBITOR	Arg1:T11	Arg2:T31
12181427	INHIBITOR	Arg1:T1	Arg2:T16
12181427	INHIBITOR	Arg1:T2	Arg2:T16
12181427	INHIBITOR	Arg1:T4	Arg2:T18
12181427	INHIBITOR	Arg1:T4	Arg2:T19
12181427	PART-OF	Arg1:T3	Arg2:T20
12181427	FALSE	Arg1:T1	Arg2:T24
12181427	FALSE	Arg1:T3	Arg2:T26
12181427	FALSE	Arg1:T3	Arg2:T27
12181427	FALSE	Arg1:T5	Arg2:T26
12181427	FALSE	Arg1:T6	Arg2:T31
12181427	FALSE	Arg1:T12	Arg2:T15
12181427	FALSE	Arg1:T12	Arg2:T28
12181427	FALSE	Arg1:T14	Arg2:T30
12488248	SUBSTRATE	Arg1:T24	Arg2:T47
12488248	SUBSTRATE	Arg1:T24	Arg2:T48
12488248	SUBSTRATE	Arg1:T25	Arg2:T49
12488248	SUBSTRATE	Arg1:T26	Arg2:T49
12488248	SUBSTRATE	Arg1:T25	Arg2:T50
12488248	SUBSTRATE	Arg1:T26	Arg2:T50
12488248	INHIBITOR	Arg1:T23	Arg2:T47
12488248	INHIBITOR	Arg1:T23	Arg2:T48
12488248	INHIBITOR	Arg1:T23	Arg2:T49
12488248	INHIBITOR	Arg1:T23	Arg2:T50
12488248	SUBSTRATE	Arg1:T31	Arg2:T51
12488248	SUBSTRATE	Arg1:T31	Arg2:T52
12488248	ACTIVATOR	Arg1:T30	Arg2:T51
12488248	ACTIVATOR	Arg1:T30	Arg2:T52
12488248	INHIBITOR	Arg1:T1	Arg2:T51
12488248	INHIBITOR	Arg1:T2	Arg2:T51
12488248	INHIBITOR	Arg1:T1	Arg2:T52
12488248	INHIBITOR	Arg1:T2	Arg2:T52
12488248	FALSE	Arg1:T2	Arg2:T53
12488248	FALSE	Arg1:T2	Arg2:T55
12488248	FALSE	Arg1:T3	Arg2:T55
12488248	FALSE	Arg1:T4	Arg2:T41
12488248	FALSE	Arg1:T4	Arg2:T48
12488248	FALSE	Arg1:T5	Arg2:T52
12488248	FALSE	Arg1:T10	Arg2:T40
12488248	FALSE	Arg1:T12	Arg2:T54
12488248	FALSE	Arg1:T15	Arg2:T37
12488248	FALSE	Arg1:T15	Arg2:T42
12488248	FALSE	Arg1:T19	Arg2:T47
12488248	FALSE	Arg1:T20	Arg2:T41
12488248	FALSE	Arg1:T24	Arg2:T42
12488248	FALSE	Arg1:T25	Arg2:T42
12488248	FALSE	Arg1:T25	Arg2:T55
12488248	FALSE	Arg1:T26	Arg2:T41
12488248	FALSE	Arg1:T27	Arg2:T37
12488248	FALSE	Arg1:T27	Arg2:T49
12488248	FALSE	Arg1:T28	Arg2:T43
12488248	FALSE	Arg1:T29	Arg2:T51
12488248	FALSE	Arg1:T30	Arg2:T38
23220562	ACTIVATOR	Arg1:T12	Arg2:T42
23220562	ACTIVATOR	Arg1:T12	Arg2:T43
23220562	INDIRECT-DOWNREGULATOR	Arg1:T1	Arg2:T14
23220562	INDIRECT-DOWNREGULATOR	Arg1:T1	Arg2:T15
23220562	INDIRECT-DOWNREGULATOR	Arg1:T1	Arg2:T16
23220562	ACTIVATOR	Arg1:T1	Arg2:T17
23220562	ACTIVATOR	Arg1:T1	Arg2:T18
23220562	INHIBITOR	Arg1:T2	Arg2:T19
23220562	INHIBITOR	Arg1:T2	Arg2:T20
23220562	INHIBITOR	Arg1:T3	Arg2:T21
23220562	INHIBITOR	Arg1:T4	Arg2:T22
23220562	ACTIVATOR	Arg1:T6	Arg2:T28
23220562	ACTIVATOR	Arg1:T6	Arg2:T29
23220562	INDIRECT-DOWNREGULATOR	Arg1:T6	Arg2:T25
